#,Time,DNI (W/m2),Air Temp. (C),Humidity (%),Wind Speed (m/s),Av. Surface temp (non-heated zone) (C) 
1,12/30/18 12:15 AM,0.0,1.7,78.0,2.7,3.5
2,12/30/18 12:30 AM,0.0,1.7,78.0,2.7,3.4
3,12/30/18 12:45 AM,0.0,1.7,78.0,2.7,3.3
4,12/30/18 1:00 AM,0.0,1.7,78.0,2.7,3.2
5,12/30/18 1:15 AM,0.0,2.2,76.0,1.3,3.1
6,12/30/18 1:30 AM,0.0,2.2,76.0,1.3,3.1
7,12/30/18 1:45 AM,0.0,2.2,76.0,1.3,3.0
8,12/30/18 2:00 AM,0.0,2.2,76.0,1.3,3.0
9,12/30/18 2:15 AM,0.0,2.8,73.0,1.3,3.0
10,12/30/18 2:30 AM,0.0,2.8,73.0,1.3,2.9
11,12/30/18 2:45 AM,0.0,2.8,73.0,1.3,2.9
12,12/30/18 3:00 AM,0.0,2.8,73.0,1.3,2.8
13,12/30/18 3:15 AM,0.0,3.3,70.0,1.3,2.8
14,12/30/18 3:30 AM,0.0,3.3,70.0,1.3,2.8
15,12/30/18 3:45 AM,0.0,3.3,70.0,1.3,2.8
16,12/30/18 4:00 AM,0.0,3.3,70.0,1.3,2.7
17,12/30/18 4:15 AM,0.0,3.3,73.0,0.0,2.7
18,12/30/18 4:30 AM,0.0,3.3,73.0,0.0,2.7
19,12/30/18 4:45 AM,0.0,3.3,73.0,0.0,2.7
20,12/30/18 5:00 AM,0.0,3.3,73.0,0.0,2.7
21,12/30/18 5:15 AM,0.0,3.3,73.0,2.7,2.7
22,12/30/18 5:30 AM,0.0,3.3,73.0,2.7,2.7
23,12/30/18 5:45 AM,0.0,3.3,73.0,2.7,2.7
24,12/30/18 6:00 AM,0.0,3.3,73.0,2.7,2.7
25,12/30/18 6:15 AM,0.0,3.3,73.0,2.7,2.7
26,12/30/18 6:30 AM,0.0,3.3,73.0,2.7,2.7
27,12/30/18 6:45 AM,0.0,3.3,73.0,2.7,2.7
28,12/30/18 7:00 AM,0.0,3.3,73.0,2.7,2.7
29,12/30/18 7:15 AM,0.0,3.9,70.0,2.7,2.8
30,12/30/18 7:30 AM,10.0,3.9,70.0,2.7,2.8
31,12/30/18 7:45 AM,10.0,3.9,70.0,2.7,2.8
32,12/30/18 8:00 AM,0.0,3.9,70.0,2.7,2.9
33,12/30/18 8:15 AM,0.0,4.4,68.0,0.0,2.9
34,12/30/18 8:30 AM,0.0,4.4,68.0,0.0,2.9
35,12/30/18 8:45 AM,0.0,4.4,68.0,0.0,2.9
36,12/30/18 9:00 AM,0.0,4.4,68.0,0.0,2.9
37,12/30/18 9:15 AM,0.0,4.4,70.0,2.2,3.0
38,12/30/18 9:30 AM,0.0,4.4,70.0,2.2,3.0
